period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-45.0062080683204,-144.847975426669,-128.80197710122,38.7895609645789,54.8355592900277,0
3,-71.4644383311174,-207.534380999817,-185.665997356633,42.7371206943983,64.6055043375822,0
4,-10.3081396996452,-132.450677164124,-112.82062650019,92.2043471008998,111.834397764834,0
5,-56.9876041360592,-181.72418628915,-161.677235585975,47.7020273138565,67.7489780170318,0
6,-44.9300311143926,-167.772676562911,-148.030108544399,58.1700463156139,77.9126143341257,0
7,3.21225184424659,-100.01119928966,-83.4217160717106,89.8462197602038,106.435702978153,0
8,32.089200400512,-84.4366042284672,-65.7092427702384,129.887643571262,148.615005029491,0
9,-6.94391952326546,-136.667795218512,-115.819315196061,101.93147614953,122.779956171981,0
